"State or other jurisdiction",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Federal,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Alabama,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Alaska,5.65,5.65,5.65,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.75,7.75,7.75,7.75,7.75,8.75,9.75,9.8,9.84
Arizona,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.75,6.9,7.25,7.25,7.35,7.65,7.8,7.9,8.05,8.05,10,10.5
Arkansas,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,7.5,8,8.5,8.5
California,5.75,6.25,6.75,6.75,6.75,6.75,6.75,7.5,8,8,8,8,8,8,9,9,10,10,11
Colorado,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.85,7.02,7.28,7.24,7.36,7.64,7.78,8,8.23,8.31,9.3,10.2
Connecticut,6.15,6.4,6.7,6.9,7.1,7.1,7.4,7.65,7.65,8,8.25,8.25,8.25,8.25,8.7,9.15,9.6,10.1,10.1
Delaware,5.65,6.15,6.15,6.15,6.15,6.15,6.15,6.65,7.15,7.15,7.25,7.25,7.25,7.25,7.75,8.25,8.25,8.25,8.25
Florida,5.15,5.15,5.15,5.15,5.15,5.15,6.4,6.67,6.79,7.21,7.25,7.25,7.67,7.79,7.93,8.05,8.05,8.1,8.25
Georgia,3.25,3.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Hawaii,5.25,5.25,5.75,6.25,6.25,6.25,6.75,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.75,8.5,9.25,10.1
Idaho,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Illinois,5.15,5.15,5.15,5.15,5.5,6.5,6.5,7.5,7.75,8,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25
Indiana,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Iowa,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Kansas,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Kentucky,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Louisiana,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Maine,5.15,5.15,5.75,6.25,6.25,6.35,6.5,6.75,7,7.25,7.5,7.5,7.5,7.5,7.5,7.5,7.5,9,10
Maryland,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.15,6.55,7.25,7.25,7.25,7.25,7.25,8.25,8.75,8.75,10.1
Massachusetts,6,6.75,6.75,6.75,6.75,6.75,6.75,7.5,8,8,8,8,8,8,8,9,10,11,11
Michigan,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.95,7.15,7.4,7.4,7.4,7.4,7.4,8.15,8.15,8.5,8.9,9.25
Minnesota,5.03,5.03,5.03,5.03,5.03,5.03,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,7.25,8.12,8.37,8.62,8.95
Mississippi,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Missouri,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.5,6.65,7.05,7.25,7.25,7.25,7.35,7.5,7.65,7.65,7.7,7.85
Montana,4.57,4.57,4.57,4.57,4.57,4.57,4.57,5.07,5.122,5.45,5.62,5.67,5.82,5.9,7.9,8.05,8.05,8.15,8.3
Nebraska,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,8,9,9,9
Nevada,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.33,6.7,7.05,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75
"New Hampshire",5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.5,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
"New Jersey",5.15,5.15,5.15,5.15,5.15,5.15,6.15,7.15,7.15,7.15,7.25,7.25,7.25,7.25,8.25,8.38,8.38,8.44,8.6
"New Mexico",4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,6.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
"New York",4.25,5.15,5.15,5.15,5.15,6,6.75,7.15,7.15,7.15,7.25,7.25,7.25,7.25,8,8.75,9,9.7,10.4
"North Carolina",5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.15,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
"North Dakota",5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Ohio,3.52,3.52,3.52,3.52,3.52,3.52,3.52,6.85,7,7.3,7.3,7.4,7.7,7.85,7.6,7.67,7.67,8.15,8.3
Oklahoma,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.92,4.27,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62
Oregon,6.5,6.5,6.5,6.9,7.05,7.25,7.5,7.8,7.95,8.4,8.4,8.5,8.8,8.95,9.1,9.25,9.75,9.75,10.75
Pennsylvania,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.25,7.15,7.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Rhode Island,5.65,6.15,6.15,6.15,6.75,6.75,6.75,7.4,7.4,7.4,7.4,7.4,7.4,7.75,8,9,9.6,9.6,10.1
